比赛,场,出手,出手_2,出手_4,得分,罚球,犯规,盖帽,果,后场,篮板,列1,命中,命中_1,命中_3,前场,抢断,球队,三分,失误,时间,投篮,助攻,TeamAB
76人113-92老鹰,客,94,37,21,92,0.667,18,3,负,37,47,6,35,8,14,10,10,亚特兰大老鹰,0.216,13,2018/10/29,0.372,20,ATL
76人114-106魔术,客,93,32,12,106,0.75,16,2,负,34,44,66,42,13,9,10,4,奥兰多魔术,0.406,12,2019/3/5,0.452,21,ORL
76人114-121凯尔特,主,108,41,20,121,0.85,21,4,胜,42,55,33,45,14,17,13,8,波士顿凯尔特人,0.341,9,2018/12/25,0.417,21,BOS
76人114-97爵士,主,86,35,27,97,0.741,19,1,负,32,44,36,33,11,20,12,11,犹他爵士,0.314,16,2018/12/27,0.384,19,UTA
76人115-117雷霆,客,92,31,26,117,0.885,23,6,胜,34,45,45,41,12,23,11,9,俄克拉荷马雷霆,0.387,10,2019/1/19,0.446,20,OKC
76人115-130开拓者,客,99,23,29,130,0.931,23,6,胜,34,53,59,49,5,27,19,8,波特兰开拓者,0.217,11,2019/2/23,0.495,29,POR
76人116-102活塞,客,84,21,21,102,0.524,24,5,负,36,46,25,41,9,11,10,5,底特律活塞,0.429,15,2018/12/10,0.488,23,DET
76人116-115魔术,客,90,29,22,115,0.773,15,7,负,35,49,3,41,16,17,14,7,奥兰多魔术,0.552,14,2018/10/20,0.456,31,ORL
76人116-96公牛,主,89,25,15,96,0.8,22,3,负,31,38,80,38,8,12,7,4,芝加哥公牛,0.32,8,2019/4/6,0.427,22,CHI
76人117-110掘金,客,94,26,13,110,0.923,19,3,负,32,40,55,46,6,12,8,5,丹佛掘金,0.231,12,2019/2/8,0.489,35,DEN
76人117-111活塞,主,89,28,37,111,0.811,24,3,负,32,49,23,37,7,30,17,10,底特律活塞,0.25,16,2018/12/7,0.416,22,DET
76人117-120勇士,客,81,33,34,120,0.706,22,7,胜,35,39,63,41,14,24,4,14,金州勇士,0.424,13,2019/3/2,0.506,23,GSW
76人117-91尼克斯,客,92,29,22,91,0.955,21,5,负,30,41,23,32,6,21,11,11,纽约尼克斯,0.207,13,2018/11/28,0.348,14,NYK
76人118-109森林狼,主,86,26,25,109,0.8,15,6,负,32,36,76,39,11,20,4,6,明尼苏达森林狼,0.423,9,2019/3/30,0.453,23,MIN
76人118-114黄蜂,主,83,35,44,114,0.75,22,2,负,36,46,70,36,9,33,10,3,夏洛特黄蜂,0.257,9,2019/3/19,0.434,16,CHA
76人118-115凯尔特,客,96,32,16,115,0.813,24,3,负,36,46,72,45,12,13,10,1,波士顿凯尔特人,0.375,8,2019/3/20,0.469,22,BOS
76人119-113快船,主,91,25,34,113,0.706,29,0,负,29,41,37,42,5,24,12,12,洛杉矶快船,0.2,13,2019/1/1,0.462,18,LAC
76人119-114太阳,客,87,33,24,114,0.542,34,4,负,26,31,16,44,13,13,5,9,菲尼克斯太阳,0.394,13,2018/11/19,0.506,25,PHO
76人120-96步行者,主,97,29,12,96,0.75,14,3,负,28,40,44,39,9,9,12,9,印第安纳步行者,0.31,12,2019/1/17,0.402,23,IND
76人121-105湖人,主,91,23,16,105,0.75,20,4,负,35,49,51,43,7,12,14,7,洛杉矶湖人,0.304,21,2019/1/29,0.473,26,LAL
76人121-120鹈鹕,客,98,30,33,120,0.758,21,8,负,34,54,18,42,11,25,20,8,新奥尔良鹈鹕,0.367,15,2018/11/21,0.429,24,NOH
76人121-123老鹰,客,81,25,27,123,0.778,24,4,胜,29,44,42,45,12,21,15,7,亚特兰大老鹰,0.48,21,2019/1/11,0.556,27,ATL
76人121-93火箭,客,86,42,26,93,0.769,25,6,负,32,38,46,31,11,20,6,9,休斯顿火箭,0.262,12,2019/1/21,0.36,14,HOU
76人122-113快船,客,86,23,33,113,0.848,28,7,负,34,42,8,38,9,28,8,6,洛杉矶快船,0.391,18,2018/11/1,0.442,19,LAC
76人122-119黄蜂,主,99,31,27,119,0.926,29,3,负,40,49,15,42,10,25,9,10,夏洛特黄蜂,0.323,18,2018/11/17,0.424,23,CHA
