2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Age,ATL,Guaranteed,Player,Signed Using
"$2,331,593","","","","","",30,LAC,"$2,331,593",Patrick Patterson,Minimum Salary
"$2,332,320","$2,443,440","$4,019,459","","","",23,CHI,"$4,775,760",Chandler Hutchison,1st Round Pick
"$2,338,847","","","","","",23,POR,"$2,338,847",Skal Labissière,1st Round Pick
"$2,351,839","$29,000,000","$31,320,000","$33,640,000","$35,960,000","",25,TOR,"$132,271,839",Pascal Siakam,1st Round Pick
"$2,376,840","$3,909,902","","","","",21,BRK,"$6,286,742",Jarrett Allen,1st Round Pick
"$2,379,840","$2,498,760","$2,617,800","$4,306,281","","",21,BOS,"$4,878,600",Grant Williams,1st Round Pick
"$2,429,400","$2,545,320","$4,054,695","","","",24,MEM,"$4,974,720",Grayson Allen,1st Round Pick
"$2,475,840","$3,944,013","","","","",21,OKC,"$6,419,853",Terrance Ferguson,1st Round Pick
"$2,478,840","$2,602,920","$2,726,880","$4,343,920","","",23,MEM,"$5,081,760",Brandon Clarke,1st Round Pick
"$2,500,000","","","","","",24,TOR,"$2,500,000",Rondae Hollis-Jefferson,MLE
"$2,505,793","$2,619,207","","","","",26,BOS,"$5,125,000",Vincent Poirier,Minimum Salary
"$2,530,680","$2,651,040","$4,087,904","","","",21,MIN,"$5,181,720",Josh Okogie,1st Round Pick
"$2,564,753","","","","","",42,ATL,"$2,564,753",Vince Carter,Minimum Salary
"$2,564,753","","","","","",32,BRK,"$2,564,753",Wilson Chandler,Minimum Salary
"$2,564,753","","","","","",35,DAL,"$2,564,753",J.J. Barea,Minimum Salary
"$2,564,753","","","","","",33,HOU,"$2,564,753",Gerald Green,Minimum Salary
"$2,564,753","","","","","",35,HOU,"$2,564,753",Thabo Sefolosha,Minimum Salary
"$2,564,753","","","","","",37,HOU,"$2,564,753",Tyson Chandler,Minimum Salary
"$2,564,753","","","","","",33,LAL,"",Dwight Howard,Minimum Salary
"$2,564,753","","","","","",34,LAL,"$2,564,753",Jared Dudley,Minimum Salary
"$2,564,753","","","","","",39,MIA,"$2,564,753",Udonis Haslem,Minimum Salary
"$2,564,753","","","","","",38,MIL,"$2,564,753",Kyle Korver,Minimum Salary
"$2,564,753","","","","","",34,POR,"$2,564,753",Anthony Tolliver,Minimum Salary
"$2,564,753","","","","","",39,POR,"$2,564,753",Pau Gasol,""
"$2,564,753","","","","","",33,UTA,"$2,564,753",Jeff Green,Minimum Salary
"$2,564,753","$2,619,605","","","","",33,LAL,"$2,564,753",Rajon Rondo,""
"$2,564,753","$2,692,991","","","","",37,HOU,"$2,564,753",Nenê Hilário,Bird Rights
"$2,564,753","$2,692,991","","","","",33,MIL,"$2,564,753",Wesley Matthews,""
"$2,578,800","","","","","",21,SAC,"$2,578,800",Harry Giles,1st Round Pick
"$2,582,160","$2,711,280","$2,840,160","$4,379,527","","",22,PHI,"$5,293,440",Matisse Thybulle,1st Round Pick
"$2,603,982","","","","","",25,ATL,"$2,603,982",DeAndre' Bembry,1st Round Pick
"$2,625,000","$2,750,000","","","","",24,MEM,"$5,375,000",Marko Guduric,Bi-Annual Exception
"$2,625,718","$16,203,704","$17,500,000","$18,796,296","","",25,BRK,"$55,125,718",Caris LeVert,1st Round Pick
"$2,636,280","$2,761,920","$4,253,357","","","",21,ATL,"$5,398,200",Kevin Huerter,1st Round Pick
"$2,686,560","$4,137,302","","","","",22,ATL,"$6,823,862",John Collins,1st Round Pick
"$2,689,920","$2,824,320","$2,959,080","$4,556,983","","",19,SAS,"$5,514,240",Luka Šamanić,1st Round Pick
"$2,731,714","","","","","",23,DEN,"$2,731,714",Malik Beasley,1st Round Pick
"$2,750,000","$2,750,000","","","","",25,LAL,"$5,500,000",Alex Caruso,""
"$2,760,480","$2,892,000","$4,447,896","","","",20,SAS,"$5,652,480",Lonnie Walker,1st Round Pick
"$2,813,280","$4,326,825","","","","",22,IND,"$7,140,105",T.J. Leaf,1st Round Pick
"$2,816,760","$2,957,520","$3,098,400","$4,765,339","","",20,IND,"$5,774,280",Goga Bitadze,1st Round Pick
"$2,844,429","$2,844,429","$2,844,429","$2,844,429","$2,844,429","",29,POR,"$14,222,145",Andrew Nicholson,""
