出场,出手,出手_2,出手_4,得分,罚球,盖帽,犯规,后场,篮板,命中,命中_1,命中_3,前场,抢断,球员,三分,时间,首发,投篮,失误,助攻,ATL
4,0.8,0.3,0.0,0.8,"",0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.3,Oshae Brissett,100.0%,4.3,0,33.3%,0.3,0.3,TOR
4,0.8,0.3,1.0,1.8,100.0%,0.3,0.0,0.3,0.8,0.3,0.3,1.0,0.5,0.0,小查尔斯-布朗,100.0%,4.3,0,33.3%,0.0,0.0,ATL
13,0.8,0.6,0.2,1.3,100.0%,0.1,0.6,0.6,0.7,0.4,0.4,0.2,0.1,0.4,贾莱德-杜德利,62.5%,7.2,0,45.5%,0.2,0.7,LAL
18,0.9,0.0,0.5,1.7,55.6%,0.4,1.3,1.7,2.7,0.7,0.0,0.3,1.1,0.3,泰森-钱德勒,"",9.2,4,76.5%,0.3,0.3,HOU
1,1.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Keldon Johnson,"",2.0,0,0.0%,0.0,0.0,SAS
2,1.0,0.0,0.0,1.0,"",0.0,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.0,乔什-格雷,"",11.0,0,50.0%,2.5,1.0,NOH
6,1.0,0.0,0.3,2.0,100.0%,0.0,0.2,0.3,0.8,0.8,0.0,0.3,0.5,0.2,泰勒-库克,"",2.7,0,83.3%,0.2,0.0,CLE
2,1.0,0.5,1.0,0.5,50.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,蒂莫西-鲁瓦乌,0.0%,3.0,0,0.0%,0.0,0.0,BKN
3,1.0,0.7,0.0,1.0,"",0.0,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,达丽尔-麦肯,50.0%,4.3,0,33.3%,0.7,0.3,MIA
1,1.0,1.0,0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,贾里德-哈珀,0.0%,2.0,0,0.0%,0.0,0.0,PHO
7,1.3,0.0,0.3,1.3,50.0%,0.3,1.0,0.4,1.1,0.6,0.0,0.1,0.7,0.1,文森特-波里尔,"",4.6,0,44.4%,0.4,0.4,BOS
3,1.3,0.3,0.0,0.7,"",0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,Brian Bowen II,0.0%,3.3,0,25.0%,0.0,0.0,IND
8,1.4,0.0,0.5,1.6,75.0%,0.0,0.5,0.8,1.5,0.6,0.0,0.4,0.8,0.0,阿利兹-约翰逊,"",4.8,0,45.5%,0.1,0.3,IND
8,1.4,1.3,0.5,2.3,25.0%,0.1,0.6,0.6,0.6,0.8,0.6,0.1,0.0,0.0,马尔科姆-米勒,50.0%,6.0,1,54.5%,0.3,0.5,TOR
2,1.5,0.0,0.0,2.0,"",0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,渡边雄太,"",3.5,0,66.7%,0.0,0.0,MEM
4,1.5,0.3,0.0,0.5,"",0.0,0.3,0.0,0.3,0.3,0.0,0.0,0.3,0.0,梅尔文-弗雷泽,0.0%,3.0,0,16.7%,0.0,0.3,ORL
4,1.5,0.3,0.3,1.5,0.0%,0.0,0.8,0.5,0.5,0.8,0.0,0.0,0.0,0.0,Sekou Doumbouya,0.0%,3.0,0,50.0%,0.0,0.0,DET
2,1.5,0.5,0.0,1.0,"",0.0,2.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,贾斯廷-巴顿,0.0%,4.5,0,33.3%,0.5,0.0,OKC
2,1.5,0.5,0.0,1.5,"",0.0,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.0,乔纳森-莫特利,100.0%,2.0,0,33.3%,1.0,1.0,LAC
2,1.5,0.5,0.5,2.5,100.0%,0.0,0.5,0.0,0.5,1.0,0.0,0.5,0.5,0.0,Max Strus,0.0%,3.0,0,66.7%,0.0,0.0,CHI
3,1.7,0.3,0.0,1.3,"",0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,乔丹-博恩,0.0%,2.3,0,40.0%,0.7,0.0,DET
