TeamAB,时间,场,比赛,列1,果
CLE,2017/11/28,主,热火97-108骑士,21,胜
CLE,2017/11/3,客,奇才122-130骑士,9,胜
CLE,2017/11/30,客,老鹰114-121骑士,22,胜
CLE,2017/11/5,主,老鹰117-115骑士,10,负
CLE,2017/11/7,主,雄鹿119-124骑士,11,胜
CLE,2017/11/9,客,火箭117-113骑士,12,负
CLE,2017/12/12,主,老鹰114-123骑士,28,胜
CLE,2017/12/14,主,湖人112-121骑士,29,胜
CLE,2017/12/16,主,爵士100-109骑士,30,胜
CLE,2017/12/17,客,奇才99-106骑士,31,胜
CLE,2017/12/19,客,雄鹿119-116骑士,32,负
CLE,2017/12/2,主,灰熊111-116骑士,23,胜
CLE,2017/12/21,主,公牛112-115骑士,33,胜
CLE,2017/12/25,客,勇士99-92骑士,34,负
CLE,2017/12/27,客,国王109-95骑士,35,负
CLE,2017/12/30,客,爵士104-101骑士,36,负
CLE,2017/12/4,客,公牛91-113骑士,24,胜
CLE,2017/12/6,主,国王95-101骑士,25,胜
CLE,2017/12/8,客,步行者106-102骑士,26,负
CLE,2017/12/9,主,76人98-105骑士,27,胜
CLE,2018/1/11,客,猛龙133-99骑士,41,负
CLE,2018/1/12,客,步行者97-95骑士,42,负
CLE,2018/1/15,主,勇士118-108骑士,43,负
CLE,2018/1/18,主,魔术103-104骑士,44,胜
CLE,2018/1/2,主,开拓者110-127骑士,37,胜
CLE,2018/1/20,主,雷霆148-124骑士,45,负
CLE,2018/1/23,客,马刺114-102骑士,46,负
CLE,2018/1/26,主,步行者108-115骑士,47,胜
CLE,2018/1/28,主,活塞104-121骑士,48,胜
CLE,2018/1/3,客,凯尔特102-88骑士,38,负
CLE,2018/1/30,客,活塞125-114骑士,49,负
CLE,2018/1/31,主,热火89-91骑士,50,胜
CLE,2018/1/6,客,魔术127-131骑士,39,胜
CLE,2018/1/8,客,森林狼127-99骑士,40,负
CLE,2018/2/11,客,凯尔特99-121骑士,55,胜
CLE,2018/2/13,客,雷霆112-120骑士,56,胜
CLE,2018/2/22,主,奇才110-103骑士,57,负
CLE,2018/2/23,客,灰熊89-112骑士,58,胜
CLE,2018/2/25,主,马刺110-94骑士,59,负
CLE,2018/2/27,主,篮网123-129骑士,60,胜
CLE,2018/2/3,主,火箭120-88骑士,51,负
CLE,2018/2/6,客,魔术116-98骑士,52,负
CLE,2018/2/7,主,森林狼138-140骑士,53,胜
CLE,2018/2/9,客,老鹰107-123骑士,54,胜
CLE,2018/3/1,主,76人108-97骑士,61,负
CLE,2018/3/11,客,湖人127-113骑士,66,负
CLE,2018/3/13,客,太阳107-129骑士,67,胜
CLE,2018/3/15,客,开拓者113-105骑士,68,负
CLE,2018/3/17,客,公牛109-114骑士,69,胜
CLE,2018/3/19,主,雄鹿117-124骑士,70,胜
CLE,2018/3/21,主,猛龙129-132骑士,71,胜
